Airline,Post ID,Date,Text (first 100 chars),Views,Outlier Score,Duration,Engagement Rate,Content Theme,Repeatability,Flair Relevance,Flair Takeaway,Video URL
Air Canada,7482780770554203397,2025-03-17,"See it for yourself with non-stop flights from Vancouver ✈️🏝️
//
Découvrez tout cela par vous-mêmes ",20300000,227.6x,19,0.12%,destination,repeatable,steal,Destination showcase content with route-specific hooks drives saves and shares,https://www.tiktok.com/@aircanada/video/7482780770554203397
Air Canada,7505068070856084791,2025-05-16,...but it's just the beginning. From the dreamy Amalfi Coast to ancient Pompeii and the charm of Pug,5000000,56.0x,0,0.13%,destination,repeatable,steal,Destination showcase content with route-specific hooks drives saves and shares,https://www.tiktok.com/@aircanada/video/7505068070856084791
Air Canada,7556261417515568401,2025-10-01,"Sip and soar even more, with free beer, wine and snacks on all flights! 🍻✈️
For full details, visit ",3600000,40.4x,6,0.02%,promo,repeatable,steal,Flash deal content with urgency mechanics drives both engagement and conversion signals,https://www.tiktok.com/@aircanada/video/7556261417515568401
Air Canada,7559620746109029650,2025-10-10,"Something big is about to take off. ✈️ Stay tuned… #FlyTheFlag 🇨🇦
//
Une grande nouvelle s’apprête à",3000000,33.6x,18,0.10%,milestone,moment-dependent,steal,This milestone content pattern is directly replicable for Flair,https://www.tiktok.com/@aircanada/video/7559620746109029650
Air Canada,7561088475907542279,2025-10-14,"Big dreams, big reveal. 🌍 Proud to introduce Team Air Canada, heading to Milano Cortina to represent",2800000,31.4x,49,0.07%,milestone,moment-dependent,steal,This milestone content pattern is directly replicable for Flair,https://www.tiktok.com/@aircanada/video/7561088475907542279
Alaska Airlines,7093888452785392942,2022-05-04,"Welcome aboard, travelers. Next stop…Star Wars: Galaxy’s Edge.",10700000,59.6x,60,0.80%,passenger-story,brand-specific,ignore,"Premium/brand-specific content not transferable to Flair's budget positioning — observe the format, not the execution",https://www.tiktok.com/@alaskaair/video/7093888452785392942
Alaska Airlines,7094765877891157294,2022-05-06,Porg fans not included on future flights but you can BYOP (bring your own Porg) ⭐️ 🪐🛸🚀✨,7800000,43.5x,10,4.23%,humor,repeatable,steal,Budget carriers that own their identity through humor build cult followings on TikTok,https://www.tiktok.com/@alaskaair/video/7094765877891157294
Alaska Airlines,7194595177523318062,2023-01-30,We asked an AI Bot to write us a Big Game commercial and…let’s just say we have a few notes. How abo,4500000,25.1x,67,0.11%,humor,repeatable,steal,Trend-jacking with brand personality drives outsized engagement at zero production cost,https://www.tiktok.com/@alaskaair/video/7194595177523318062
Alaska Airlines,7140762175139810602,2022-09-07,It’s got that new plane smell!🔑✈️ #travel #traveltiktok #aircraft #aviation #plane ,3500000,19.5x,42,2.90%,behind-the-scenes,repeatable,steal,Aviation geek content has a massive built-in audience — aircraft and operations content performs reliably,https://www.tiktok.com/@alaskaair/video/7140762175139810602
Alaska Airlines,7512147436459035934,2025-06-04,Good news for cheese lovers: we’re spreading the love. 🧀✨ Our signature Fruit & Cheese Platter is no,2900000,16.2x,6,1.40%,promo,repeatable,adapt,Promotional content needs TikTok-native execution — Flair deals with personality would perform,https://www.tiktok.com/@alaskaair/video/7512147436459035934
